property_id,rfc_number,section,property_type,natural_language,atomic_propositions,ltl_formula,ltl_explanation,ltl_operators,approved,timestamp
7289b0ad,919,6.0,Safety,never broadcast a datagram on the hardware network it was received on,"datagram_received_on_network, broadcast_datagram_on_network",G (datagram_received_on_network -> !broadcast_datagram_on_network),"Globally: if a datagram is received on a network, it must not be broadcast on that same network","G,->,!",True,2025-12-10T21:21:10.916567
04f927ef,919,6.0,Safety,"If the datagram is received on the hardware network to which it is addressed, then it should not be forwarded","datagram_received_on_addressed_network, forward_datagram",G (datagram_received_on_addressed_network -> !forward_datagram),"Globally: if a datagram is received on the network it's addressed to, it must not be forwarded","G,->,!",True,2025-12-10T21:21:10.916598
5fd0f588,919,6.0,Safety,the gateway should consider itself to be a destination of the datagram,gateway_considers_self_destination,G gateway_considers_self_destination,Globally: the gateway should always consider itself to be a destination of the datagram,G,True,2025-12-10T21:21:10.916606
3417739a,919,6.0,Safety,"if the datagram is addressed to a hardware network to which the gateway is connected, it should be sent as a (data link layer) broadcast on that network","datagram_addressed_to_connected_network, send_as_datalink_broadcast",G (datagram_addressed_to_connected_network -> send_as_datalink_broadcast),"Globally: if a datagram is addressed to a connected network, it should be sent as a data link layer broadcast","G,->",True,2025-12-10T21:21:10.916612
800d6ae8,919,6.0,Safety,the gateway should consider itself a destination of the datagram,gateway_considers_self_destination,G gateway_considers_self_destination,Globally: the gateway should always consider itself a destination of the datagram,G,True,2025-12-10T21:21:10.916618
acdb0f9b,919,6.0,Safety,"the gateway should use its normal routing procedure to choose a subsequent gateway, and send the datagram along to it","use_normal_routing_procedure, send_datagram_to_next_gateway",G (use_normal_routing_procedure & send_datagram_to_next_gateway),Globally: the gateway should use normal routing procedure and send datagram to next gateway,"G,&",True,2025-12-10T21:21:10.916624
e90915dd,919,7.0,Safety,"The address 255.255.255.255 denotes a broadcast on a local hardware network, which must not be forwarded","address_is_broadcast_address, forward_datagram",G (address_is_broadcast_address -> !forward_datagram),"Globally: if address is the broadcast address 255.255.255.255, the datagram must not be forwarded","G,->,!",True,2025-12-10T21:21:10.916629
662a0a17,919,4.0,Safety,a host should discard datagrams not meant for it without becoming flustered,"datagram_not_meant_for_host, discard_datagram",G (datagram_not_meant_for_host -> discard_datagram),"Globally: if a datagram is not meant for the host, the host should discard it","G,->",True,2025-12-10T21:21:10.916634
a7df2ab4,919,4.0,Safety,The receiving IP layer must be able to recognize this address as well as its own,"recognize_broadcast_address, recognize_own_address",G (recognize_broadcast_address & recognize_own_address),Globally: the IP layer must recognize both the broadcast address and its own address,"G,&",True,2025-12-10T21:21:10.916639
85708a2b,2920,3.2,Ordering,MUST respond to commands in the order they are received from the client.,"command_received_from_client, command_queued_for_processing, response_generated, response_sent_to_client, command_processing_started, command_processing_completed, commands_pending_in_queue, fifo_order_maintained, earlier_command_exists",G (command_received_from_client -> (earlier_command_exists -> (command_processing_started -> fifo_order_maintained))),"Always: if a command is received and there's an earlier command, then when processing starts, FIFO order must be maintained","G,->",False,2025-12-10T22:06:33.114858
d2f9cd23,2920,3.2,Safety,"SHOULD elect to store responses to grouped RSET, MAIL FROM, SEND FROM, SOML FROM, SAML FROM, and RCPT TO commands in an internal buffer so they can sent as a unit.","rset_command_received, mail_from_command_received, send_from_command_received, soml_from_command_received, saml_from_command_received, rcpt_to_command_received, commands_are_grouped, response_generated, response_stored_in_buffer, internal_buffer_exists, responses_sent_as_unit, grouped_commands_complete",G ((commands_are_grouped & (rset_command_received | mail_from_command_received | send_from_command_received | soml_from_command_received | saml_from_command_received | rcpt_to_command_received)) -> (response_generated -> response_stored_in_buffer)),"Always: when commands are grouped and any of the specified commands are received, responses should be stored in buffer rather than sent immediately","G,->,&,|",False,2025-12-10T22:06:33.114912
