id,property_id,ltl_formula,explanation,operators_used,timestamp,approved,approved_by
85070f43,7289b0ad,G (datagram_received_on_network -> !broadcast_datagram_on_network),"Globally: if a datagram is received on a network, it must not be broadcast on that same network","G,->,!",2025-12-10T21:22:23.071308,True,User
ddbf5e17,a7df2ab4,G (recognize_broadcast_address & recognize_own_address),Globally: the IP layer must recognize both the broadcast address and its own address,"G,&",2025-12-10T21:22:23.071493,True,User
19d9705d,662a0a17,G (datagram_not_meant_for_host -> discard_datagram),"Globally: if a datagram is not meant for the host, the host should discard it","G,->",2025-12-10T21:22:23.071485,True,User
80c48ee4,e90915dd,G (address_is_broadcast_address -> !forward_datagram),"Globally: if address is the broadcast address 255.255.255.255, the datagram must not be forwarded","G,->,!",2025-12-10T21:22:23.071475,True,User
d136ae35,acdb0f9b,G (use_normal_routing_procedure & send_datagram_to_next_gateway),Globally: the gateway should use normal routing procedure and send datagram to next gateway,"G,&",2025-12-10T21:22:23.071466,True,User
cd9ef883,800d6ae8,G gateway_considers_self_destination,Globally: the gateway should always consider itself a destination of the datagram,G,2025-12-10T21:22:23.071456,True,User
ac8822bc,3417739a,G (datagram_addressed_to_connected_network -> send_as_datalink_broadcast),"Globally: if a datagram is addressed to a connected network, it should be sent as a data link layer broadcast","G,->",2025-12-10T21:22:23.071446,True,User
0d72c7ae,5fd0f588,G gateway_considers_self_destination,Globally: the gateway should always consider itself to be a destination of the datagram,G,2025-12-10T21:22:23.071436,True,User
7af40912,04f927ef,G (datagram_received_on_addressed_network -> !forward_datagram),"Globally: if a datagram is received on the network it's addressed to, it must not be forwarded","G,->,!",2025-12-10T21:22:23.071417,True,User
b426315e,85708a2b,G (command_received_from_client -> (earlier_command_exists -> (command_processing_started -> fifo_order_maintained))),"Always: if a command is received and there's an earlier command, then when processing starts, FIFO order must be maintained","G,->",2025-12-10T22:12:45.341854,False,
fc7bf6fb,d2f9cd23,G ((commands_are_grouped & (rset_command_received | mail_from_command_received | send_from_command_received | soml_from_command_received | saml_from_command_received | rcpt_to_command_received)) -> (response_generated -> response_stored_in_buffer)),"Always: when commands are grouped and any of the specified commands are received, responses should be stored in buffer rather than sent immediately","G,->,&,|",2025-12-10T22:12:45.341897,False,
40e8b081,acc931f5,G (data_command_received -> (positive_response_issued <-> valid_rcpt_to_received)),"Always: when DATA command is received, positive response is issued if and only if valid RCPT TO addresses were previously received","G,->,<->",2025-12-10T22:12:45.341909,False,
426c2bb9,1d46aa10,G ((server_issues_positive_response_to_data & data_command_has_no_valid_recipients & server_receives_empty_message) -> G !server_sends_message_to_anyone),"Always: if server issues positive response to DATA with no valid recipients and receives empty message, then always never send any message to anybody","G,->,&,!",2025-12-10T22:12:45.341917,False,
dc2a55da,374cd2c8,G ((client_sends_ehlo -> !server_buffers_ehlo_response) & (client_sends_data -> !server_buffers_data_response) & (client_sends_vrfy -> !server_buffers_vrfy_response) & (client_sends_expn -> !server_buffers_expn_response) & (client_sends_turn -> !server_buffers_turn_response) & (client_sends_quit -> !server_buffers_quit_response) & (client_sends_noop -> !server_buffers_noop_response)),"Always: responses to EHLO, DATA, VRFY, EXPN, TURN, QUIT, and NOOP commands must not be buffered","G,->,&,!",2025-12-10T22:12:45.341925,False,
11c5c8bd,4e8ebe88,G ((command_received & command_is_unrecognized) -> !response_buffered),"Always: if an unrecognized command is received, the response must not be buffered","G,->,&,!",2025-12-10T22:12:45.341933,False,
e953a4a7,fb3d3aa4,G ((local_tcp_input_buffer_emptied & pending_responses_exist) -> responses_sent_immediately),"Always: when TCP input buffer is emptied and pending responses exist, they must be sent immediately","G,->,&",2025-12-10T22:12:45.341940,False,
ccfcc2c4,4574159d,G !assumption_made_about_future_command,Always: never make assumptions about commands that are yet to be received,"G,!",2025-12-10T22:12:45.341948,False,
9d169d00,ee9d0046,G !(tcp_input_buffer_flushed | tcp_input_buffer_contents_lost),Always: never flush the TCP input buffer or lose its contents under any circumstances,"G,!,|",2025-12-10T22:12:45.341955,False,
929835c8,cbdd3bed,G (system_issues_response -> (response_explicitly_indicates_matched_command | response_implicitly_indicates_matched_command)),"Always: when system issues a response, it should indicate (explicitly or implicitly) what command the response matches","G,->,|",2025-12-10T22:12:45.341963,False,
7a11891d,3c81f89a,G (counting_mechanism_active -> (command_issued -> command_count_incremented) & (response_received -> response_count_incremented) & F command_response_correlation_performed),"Always: when counting mechanism is active, commands and responses must be counted and eventually correlated","G,->,&,F",2025-12-10T22:12:45.341980,True,
4fcb75a5,9a116243,G ((client_uses_pipelining & command_group_complete) -> all_statuses_checked),"Always: if client uses pipelining and command group is complete, all statuses associated with each command must be checked","G,->,&",2025-12-10T22:12:45.341971,True,
